Country,Category,Series,Data Type,Data,Values,Date
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,94,2020-05-31
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,93,2020-06-07
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,96,2020-06-14
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,92,2020-06-21
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,94,2020-06-28
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,92,2020-09-20
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,91,2020-09-27
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,90,2020-10-04
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,90,2020-10-11
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,91,2020-10-18
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,90,2020-10-25
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,90,2020-11-01
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,89,2020-11-08
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,89,2020-11-15
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,88,2020-11-22
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,89,2020-11-29
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,89,2020-12-06
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,90,2020-12-13
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,89,2020-12-20
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,90,2021-01-03
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,90,2021-01-10
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,90,2021-01-17
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,90,2021-01-24
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,89,2021-01-31
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,90,2021-02-07
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,89,2021-02-14
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,89,2021-02-21
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,88,2021-02-28
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,89,2021-03-07
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,88,2021-03-14
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,89,2021-03-21
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,89,2021-03-28
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,88,2021-04-04
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,87,2021-04-11
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,87,2021-04-18
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,87,2021-04-25
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,28,2020-05-24
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,28,2020-05-31
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,30,2020-06-07
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,39,2020-06-14
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,44,2020-06-21
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,43,2020-06-28
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,52,2020-07-05
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,61,2020-07-12
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,71,2020-07-19
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,84,2020-07-26
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,96,2020-08-02
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,96,2020-08-09
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,95,2020-08-16
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,96,2020-08-30
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,95,2020-09-13
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,96,2020-09-20
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,97,2020-09-27
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,98,2020-10-04
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,98,2020-10-11
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,96,2020-10-18
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,98,2020-10-25
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,97,2020-11-01
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,98,2020-11-08
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,97,2020-11-15
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,97,2020-11-22
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,97,2020-11-29
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,97,2020-12-06
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,97,2020-12-13
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,97,2020-12-20
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,97,2021-01-03
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,96,2021-01-10
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,96,2021-01-17
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,95,2021-01-24
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,94,2021-01-31
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,95,2021-02-07
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,96,2021-02-14
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,96,2021-02-21
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,95,2021-02-28
