Country,Category,Series,Data Type,Data,Values,Date,Regional Data,Survey Topic,Type of business,Economic segment,Inflation Type,Inflation sub segment
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,94,31/05/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,93,07/06/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,96,14/06/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,92,21/06/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,94,28/06/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,92,20/09/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,91,27/09/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,90,04/10/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,90,11/10/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,91,18/10/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,90,25/10/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,90,01/11/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,89,08/11/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,89,15/11/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,88,22/11/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,89,29/11/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,89,06/12/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,90,13/12/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,89,20/12/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,90,03/01/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,90,10/01/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,90,17/01/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,90,24/01/2021,,,,,,
